,Team1,Team1_score,Team2_score,Team2,Date,Round
785,SOAS University of London,90,260,"Darwin College, Cambridge",2018-08-13,1R
786,"Clare College, Cambridge",160,150,"Hertford College, Oxford",2018-08-20,1R
787,University of Strathclyde,55,360,Durham University,2018-08-27,1R
788,University of York,105,240,"St Edmund Hall, Oxford",2018-09-03,1R
789,University of Edinburgh,210,75,"Sidney Sussex College, Cambridge",2018-09-10,1R
790,University of Bristol,140,110,Queen's University Belfast,2018-09-17,1R
791,University of London Institute in Paris,55,180,"Goldsmiths, University of London",2018-09-24,1R
792,"St Peter's College, Oxford",225,50,"Pembroke College, Cambridge",2018-10-01,1R
793,University College London,180,145,King's College London,2018-10-08,1R
794,University of East London,135,155,University of Manchester,2018-10-22,1R
795,"Keble College, Oxford",180,115,University of East Anglia,2018-10-29,1R
796,"Emmanuel College, Cambridge",235,140,King's College London,2018-11-05,HSLP
797,"Hertford College, Oxford",215,165,University of Exeter,2018-11-12,HSLP
798,"St Peter's College, Oxford",120,195,"Emmanuel College, Cambridge",2018-11-19,2R
799,"Hertford College, Oxford",115,185,University of Manchester,2018-11-26,2R
800,University of Edinburgh,180,160,University College London,2018-12-03,2R
801,"Clare College, Cambridge",105,245,"St Edmund Hall, Oxford",2018-12-10,2R
802,"Goldsmiths, University of London",125,135,University of Glasgow,2018-12-17,2R
803,Durham University,200,100,"Keble College, Oxford",2019-01-07,2R
804,"Downing College, Cambridge",120,205,"Darwin College, Cambridge",2019-01-14,2R
805,University of Warwick,125,190,University of Bristol,2019-01-21,2R
806,University of Glasgow,110,170,Durham University,2019-01-28,QF
807,"Darwin College, Cambridge",105,115,University of Bristol,2019-02-04,QF
808,University of Manchester,130,170,University of Edinburgh,2019-02-11,QF
809,"Emmanuel College, Cambridge",55,190,"St Edmund Hall, Oxford",2019-02-18,QF
810,Durham University,165,110,University of Edinburgh,2019-02-25,QF
811,University of Glasgow,70,155,University of Manchester,2019-03-04,QF
812,University of Bristol,130,150,"St Edmund Hall, Oxford",2019-03-11,QF
813,"Darwin College, Cambridge",225,130,"Emmanuel College, Cambridge",2019-03-18,QF
814,University of Edinburgh,155,120,University of Bristol,2019-03-25,QF
815,University of Manchester,120,195,"Darwin College, Cambridge",2019-04-01,QF
816,Durham University,110,180,University of Edinburgh,2019-04-08,SF
817,"St Edmund Hall, Oxford",165,140,"Darwin College, Cambridge",2019-04-15,SF
818,University of Edinburgh,155,140,"St Edmund Hall, Oxford",2019-04-22,F
819,Lancaster University,95,230,University of Glasgow,2019-07-15,1R
820,"Corpus Christi College, Cambridge",195,140,"Merton College, Oxford",2019-07-22,1R
821,"Magdalen College, Oxford",170,150,University of York,2019-07-29,1R
822,University of Birmingham,125,120,University of Bristol,2019-08-05,1R
823,"Wolfson College, Cambridge",40,115,"St John's College, Oxford",2019-08-12,1R
824,University of Edinburgh,165,90,"Birkbeck, University of London",2019-08-19,1R
825,"Jesus College, Oxford",145,185,University of Manchester,2019-09-02,1R
826,Durham University,145,200,"Trinity College, Cambridge",2019-09-09,1R
827,London School of Economics,90,145,Courtauld Institute of Art,2019-09-16,1R
828,"Goldsmiths, University of London",95,175,University of Southampton,2019-09-23,1R
829,Open University,125,145,University of Huddersfield,2019-10-07,1R
830,"Wolfson College, Oxford",180,170,University of Sheffield,2019-10-14,1R
831,Imperial College London,255,70,"Brasenose College, Oxford",2019-10-21,1R
832,"Lady Margaret Hall, Oxford",150,145,"Downing College, Cambridge",2019-10-28,1R
833,University of Sheffield,165,170,"Jesus College, Oxford",2019-11-04,HSLP
834,University of York,145,240,Durham University,2019-11-11,HSLP
835,University of Birmingham,120,150,"Jesus College, Oxford",2019-11-18,2R
836,University of Southampton,95,245,Durham University,2019-11-25,2R
837,Courtauld Institute of Art,180,145,University of Glasgow,2019-12-02,2R
838,Imperial College London,255,105,"St John's College, Oxford",2019-12-09,2R
839,University of Huddersfield,90,205,University of Manchester,2019-12-16,2R
840,"Trinity College, Cambridge",245,100,"Lady Margaret Hall, Oxford",2020-01-06,2R
841,"Wolfson College, Oxford",220,100,University of Edinburgh,2020-01-13,2R
842,"Magdalen College, Oxford",75,270,"Corpus Christi College, Cambridge",2020-01-20,2R
843,University of Manchester,95,300,"Trinity College, Cambridge",2020-01-27,QF
844,"Wolfson College, Oxford",140,180,"Corpus Christi College, Cambridge",2020-02-03,QF
845,"Jesus College, Oxford",110,195,Durham University,2020-02-10,QF
846,Courtauld Institute of Art,75,240,Imperial College London,2020-02-17,QF
847,"Trinity College, Cambridge",80,245,"Corpus Christi College, Cambridge",2020-02-24,QF
848,University of Manchester,125,130,"Wolfson College, Oxford",2020-03-02,QF
849,Durham University,115,185,Imperial College London,2020-03-09,QF
850,"Jesus College, Oxford",135,90,Courtauld Institute of Art,2020-03-16,QF
851,"Wolfson College, Oxford",45,205,Durham University,2020-03-23,QF
852,"Trinity College, Cambridge",285,75,"Jesus College, Oxford",2020-03-30,QF
853,"Corpus Christi College, Cambridge",185,130,Durham University,2020-04-06,SF
854,Imperial College London,235,80,"Trinity College, Cambridge",2020-04-13,SF
855,"Corpus Christi College, Cambridge",105,275,Imperial College London,2020-04-20,F
