,Team1,Team1_score,Team2_score,Team2,Date,Round
191,University of Hull,250,240,University of Sheffield,2001-01-29,2R
192,Durham University,140,215,Imperial College London,2001-02-04,2R
193,University College London,105,250,University of Manchester,2001-02-11,2R
194,"University College, Oxford",285,160,Sheffield Hallam University,2001-02-19,QF
195,"St John's College, Oxford",210,175,University of Bristol,2001-02-26,QF
196,"Balliol College, Oxford",160,210,University of Hull,2001-03-05,QF
197,Imperial College London,225,195,University of Manchester,2001-03-12,QF
198,"University College, Oxford",105,220,"St John's College, Oxford",2001-03-19,SF
199,University of Hull,145,260,Imperial College London,2001-03-26,SF
200,"St John's College, Oxford",195,250,Imperial College London,2001-04-02,F
201,University of Hull,185,300,"Somerville College, Oxford",2001-07-23,1R
202,London School of Economics,140,180,University of Bristol,2001-07-30,1R
203,University of Edinburgh,150,190,"Christ's College, Cambridge",2001-08-06,1R
204,University of Salford,155,130,University of Leicester,2001-08-13,1R
205,"Christ Church, Oxford",235,100,University of Birmingham,2001-08-20,1R
206,"Wadham College, Oxford",235,120,Cranfield University,2001-09-03,1R
207,University of Nottingham,125,215,Keele University,2001-09-10,1R
208,Imperial College London,250,110,De Montfort University,2001-09-17,1R
209,"Magdalen College, Oxford",140,210,"Trinity College, Cambridge",2001-09-24,1R
210,Cardiff University,145,200,University College London,2001-10-01,1R
211,"Downing College, Cambridge",220,230,Newcastle University,2001-10-08,1R
212,University of St Andrews,40,215,"Churchill College, Cambridge",2001-10-15,1R
213,Durham University,200,140,University of York,2001-10-22,1R
214,"St Hugh's College, Oxford",220,145,University of Leeds,2001-10-29,1R
215,"Downing College, Cambridge",205,195,University of Leeds,2001-11-05,HSLP
216,University of Edinburgh,230,150,University of Hull,2001-11-12,HSLP
217,Newcastle University,265,145,University of Salford,2001-11-19,2R
218,University of Edinburgh,220,130,"Wadham College, Oxford",2001-11-26,2R
219,"St Hugh's College, Oxford",190,140,"Churchill College, Cambridge",2001-12-03,2R
220,"Christ Church, Oxford",170,285,Imperial College London,2001-12-10,2R
221,"Somerville College, Oxford",290,100,Durham University,2001-12-17,2R
222,"Downing College, Cambridge",180,155,University of Bristol,2002-01-07,2R
223,"Trinity College, Cambridge",200,250,University College London,2002-01-14,2R
224,"Christ's College, Cambridge",285,40,Keele University,2002-01-21,2R
225,Newcastle University,115,290,University of Edinburgh,2002-01-28,QF
226,"St Hugh's College, Oxford",135,270,Imperial College London,2002-02-04,QF
227,"Somerville College, Oxford",270,145,"Downing College, Cambridge",2002-02-11,QF
228,University College London,155,190,"Christ's College, Cambridge",2002-02-18,QF
229,University of Edinburgh,120,270,Imperial College London,2002-02-25,SF
230,"Somerville College, Oxford",180,170,"Christ's College, Cambridge",2002-03-04,SF
231,Imperial College London,185,200,"Somerville College, Oxford",2002-03-11,F
232,Newcastle University,205,180,University of York,2002-09-02,1R
233,University of Manchester Institute of Science and Technology,165,200,"Clare College, Cambridge",2002-09-09,1R
234,University College London,165,175,"Jesus College, Oxford",2002-09-16,1R
235,University of Liverpool,130,265,"Worcester College, Oxford",2002-09-23,1R
236,"Selwyn College, Cambridge",160,180,"Merton College, Oxford",2002-09-30,1R
237,University of Leeds,230,135,Liverpool John Moores University,2002-10-07,1R
238,Cranfield University,175,165,"Brasenose College, Oxford",2002-10-14,1R
239,Middlesex University,70,200,University of Manchester,2002-10-21,1R
240,University of Sheffield,180,125,"Homerton College, Cambridge",2002-10-28,1R
241,University of Nottingham,225,105,Aberystwyth University,2002-11-04,1R
242,"Birkbeck, University of London",230,185,"Emmanuel College, Cambridge",2002-11-11,1R
243,Durham University,190,115,"Queens' College, Cambridge",2002-11-18,1R
244,University of Warwick,275,140,"Wadham College, Oxford",2002-11-25,1R
245,University of Southampton,190,125,University of Edinburgh,2002-12-02,1R
246,University of Manchester Institute of Science and Technology,150,205,University College London,2002-12-09,HSLP
247,"Emmanuel College, Cambridge",205,150,University of York,2002-12-16,HSLP
248,Newcastle University,80,215,"Worcester College, Oxford",2002-12-23,2R
249,University of Warwick,225,145,University of Southampton,2002-12-30,2R
250,University College London,330,125,"Emmanuel College, Cambridge",2003-01-06,2R
251,Durham University,225,180,"Jesus College, Oxford",2003-01-13,2R
252,"Birkbeck, University of London",190,130,"Clare College, Cambridge",2003-01-20,2R
253,Cranfield University,190,175,University of Manchester,2003-01-27,2R
254,University of Leeds,170,165,University of Nottingham,2003-02-03,2R
255,University of Sheffield,195,125,"Merton College, Oxford",2003-02-10,2R
256,University College London,145,220,"Birkbeck, University of London",2003-02-17,QF
257,University of Warwick,175,180,University of Sheffield,2003-02-24,QF
258,Cranfield University,165,160,Durham University,2003-03-03,QF
259,University of Leeds,230,130,"Worcester College, Oxford",2003-03-10,QF
260,"Birkbeck, University of London",190,155,University of Sheffield,2003-03-17,SF
261,Cranfield University,200,125,University of Leeds,2003-03-24,SF
262,"Birkbeck, University of London",180,155,Cranfield University,2003-03-31,F
263,"St Hugh's College, Oxford",150,195,University of Strathclyde,2003-09-15,1R
264,University of Hull,160,180,Bangor University,2003-09-22,1R
265,"Corpus Christi College, Cambridge",80,150,Royal Northern College of Music,2003-09-29,1R
266,"St John's College, Oxford",175,235,London Metropolitan University,2003-10-06,1R
267,University of Edinburgh,115,155,University of Warwick,2003-10-13,1R
268,"Jesus College, Cambridge",270,90,"Oriel College, Oxford",2003-10-20,1R
269,"The Queen's College, Oxford",140,105,Imperial College London,2003-10-27,1R
270,University of Nottingham,110,160,"Magdalen College, Oxford",2003-11-03,1R
271,University of Bristol,70,225,Durham University,2003-11-10,1R
272,"Wolfson College, Cambridge",135,140,University of Sussex,2003-11-17,1R
273,University of Reading,140,210,"Gonville and Caius College, Cambridge",2003-11-24,1R
274,"St Edmund's College, Cambridge",165,120,London School of Economics,2003-12-01,1R
275,University of St Andrews,195,75,"City, University of London",2003-12-08,1R
276,University of Bradford,35,280,Queen's University Belfast,2003-12-15,1R
277,"St John's College, Oxford",140,125,University of Hull,2003-12-22,HSLP
278,"St Hugh's College, Oxford",140,155,University of Reading,2003-12-29,HSLP
279,"Magdalen College, Oxford",165,130,University of Sussex,2004-01-05,2R
280,University of St Andrews,200,105,Queen's University Belfast,2004-01-12,2R
281,"Gonville and Caius College, Cambridge",195,140,University of Strathclyde,2004-01-19,2R
282,"St John's College, Oxford",215,190,University of Reading,2004-01-26,2R
283,"The Queen's College, Oxford",150,180,Royal Northern College of Music,2004-02-02,2R
284,"Jesus College, Cambridge",225,110,Bangor University,2004-02-09,2R
285,London Metropolitan University,150,140,Durham University,2004-02-16,2R
286,University of Warwick,80,180,"St Edmund's College, Cambridge",2004-02-23,2R
287,"Magdalen College, Oxford",190,130,Royal Northern College of Music,2004-03-01,QF
288,"St Edmund's College, Cambridge",50,225,University of St Andrews,2004-03-08,QF
289,"Gonville and Caius College, Cambridge",180,165,"St John's College, Oxford",2004-03-15,QF
290,London Metropolitan University,225,210,"Jesus College, Cambridge",2004-03-22,QF
291,"Magdalen College, Oxford",265,85,University of St Andrews,2004-03-29,SF
292,"Gonville and Caius College, Cambridge",220,190,London Metropolitan University,2004-04-05,SF
293,"Magdalen College, Oxford",190,160,"Gonville and Caius College, Cambridge",2004-04-12,F
294,University of Leicester,150,145,"Jesus College, Cambridge",2004-09-13,1R
295,University of York,120,250,Lancaster University,2004-09-20,1R
296,Newcastle University,155,150,"University College, Oxford",2004-09-27,1R
297,University of Warwick,100,265,University College London,2004-10-04,1R
298,"Balliol College, Oxford",170,105,"Downing College, Cambridge",2004-10-11,1R
299,Durham University,190,70,Kingston University,2004-11-01,1R
300,"St John's College, Cambridge",70,195,University of Reading,2004-11-08,1R
301,University of Glasgow,100,125,University of Edinburgh,2004-11-15,1R
302,"St Hilda's College, Oxford",150,120,University of Portsmouth,2004-11-22,1R
303,"Magdalene College, Cambridge",80,195,University of Sheffield,2004-11-29,1R
304,Queen's University Belfast,130,185,University of East Anglia,2004-12-06,1R
305,"Trinity College, Cambridge",110,195,"Corpus Christi College, Oxford",2004-12-13,1R
306,University of St Andrews,40,315,University of Manchester,2004-12-20,1R
307,"Royal Holloway, University of London",135,75,"Greyfriars, Oxford",2005-01-03,1R
308,"University College, Oxford",200,85,University of York,2005-01-10,HSLP
309,"Jesus College, Cambridge",275,40,Queen's University Belfast,2005-01-17,HSLP
310,University of Edinburgh,155,70,"Royal Holloway, University of London",2005-01-24,2R
311,University of Manchester,250,130,Newcastle University,2005-01-31,2R
312,"St Hilda's College, Oxford",155,120,University of Leicester,2005-02-07,2R
313,University of Sheffield,145,240,"Corpus Christi College, Oxford",2005-02-14,2R
314,"Balliol College, Oxford",215,195,Durham University,2005-02-21,2R
315,Lancaster University,175,60,University of Reading,2005-02-28,2R
316,University College London,245,105,University of East Anglia,2005-03-07,2R
317,"University College, Oxford",135,165,"Jesus College, Cambridge",2005-03-14,2R
318,"Balliol College, Oxford",215,75,University of Edinburgh,2005-03-21,QF
319,"Corpus Christi College, Oxford",345,80,Lancaster University,2005-03-28,QF
320,University College London,175,110,"Jesus College, Cambridge",2005-04-04,QF
321,University of Manchester,215,150,"St Hilda's College, Oxford",2005-04-11,QF
322,"Balliol College, Oxford",205,255,"Corpus Christi College, Oxford",2005-04-18,SF
323,University College London,190,185,University of Manchester,2005-04-25,SF
324,"Corpus Christi College, Oxford",250,140,University College London,2005-05-09,F
325,"St Hugh's College, Oxford",190,240,University of Manchester,2005-09-19,1R
326,"University of Wales, Lampeter",160,125,University of Exeter,2005-09-26,1R
327,"Magdalen College, Oxford",70,320,"Trinity Hall, Cambridge",2005-10-03,1R
328,University of Liverpool,275,70,University of Hull,2005-10-10,1R
329,"St Hilda's College, Oxford",165,130,Durham University,2005-10-17,1R
330,University of Birmingham,125,115,University of Strathclyde,2005-11-07,1R
331,"Lucy Cavendish College, Cambridge",110,160,University of Hertfordshire,2005-11-14,1R
332,University of Sheffield,100,235,University of Sussex,2005-11-21,1R
333,University of Edinburgh,110,275,"Gonville and Caius College, Cambridge",2005-11-28,1R
334,"St John's College, Oxford",130,165,"Trinity College, Cambridge",2005-12-04,1R
335,SOAS University of London,205,95,"Christ's College, Cambridge",2005-12-11,1R
336,"Churchill College, Cambridge",170,120,University of York,2005-12-18,1R
337,London Business School,170,130,"Trinity College, Oxford",2006-01-08,1R
338,University of Nottingham,245,135,Imperial College School of Medicine,2006-01-15,1R
339,"St John's College, Oxford",190,125,"St Hugh's College, Oxford",2006-01-22,HSLP
340,Imperial College School of Medicine,205,145,"Trinity College, Oxford",2006-01-29,HSLP
341,SOAS University of London,200,170,"Churchill College, Cambridge",2006-02-05,2R
342,London Business School,185,160,University of Nottingham,2006-02-12,2R
343,"St John's College, Oxford",170,175,Imperial College School of Medicine,2006-02-19,2R
344,University of Liverpool,195,170,"Trinity College, Cambridge",2006-02-26,2R
345,"Trinity Hall, Cambridge",255,95,University of Birmingham,2006-03-05,2R
346,"Gonville and Caius College, Cambridge",175,160,University of Sussex,2006-03-12,2R
347,University of Manchester,255,45,"St Hilda's College, Oxford",2006-03-19,2R
348,"University of Wales, Lampeter",140,145,University of Hertfordshire,2006-03-26,2R
